iter	Passed	Remaining
155	1049	5676
156	1053	5657
157	1058	5641
158	1063	5623
159	1073	5633
160	1077	5616
161	1082	5599
162	1088	5589
163	1093	5573
164	1098	5557
165	1103	5542
166	1108	5527
167	1112	5511
168	1117	5495
169	1121	5477
170	1126	5459
171	1130	5443
172	1135	5429
173	1140	5413
174	1145	5399
175	1149	5382
176	1154	5366
177	1158	5350
178	1163	5335
179	1167	5319
180	1172	5305
181	1177	5290
182	1182	5277
183	1187	5265
184	1191	5250
185	1196	5235
186	1210	5262
187	1215	5250
188	1220	5239
189	1226	5230
190	1231	5217
191	1237	5205
192	1242	5196
193	1248	5185
194	1253	5174
195	1258	5162
196	1263	5152
197	1269	5143
198	1275	5134
199	1281	5124
200	1286	5114
201	1292	5106
202	1298	5097
203	1303	5086
204	1309	5076
205	1315	5069
206	1321	5062
207	1327	5053
208	1332	5044
209	1338	5035
210	1344	5025
211	1350	5018
212	1355	5008
213	1360	4996
214	1366	4989
215	1372	4980
216	1378	4973
217	1383	4964
218	1389	4955
219	1395	4948
220	1400	4937
221	1406	4928
222	1411	4918
223	1417	4910
224	1422	4900
225	1429	4897
226	1435	4889
227	1441	4880
228	1447	4873
229	1452	4864
230	1458	4855
231	1464	4846
232	1470	4839
233	1475	4831
234	1481	4822
235	1487	4814
236	1492	4805
237	1498	4798
238	1504	4789
239	1509	4780
240	1516	4774
241	1521	4766
242	1527	4757
243	1533	4750
244	1538	4740
245	1544	4734
246	1550	4726
247	1556	4719
248	1562	4712
249	1567	4703
250	1573	4695
251	1578	4686
252	1584	4677
253	1592	4675
254	1598	4669
255	1603	4661
256	1609	4654
257	1615	4646
258	1622	4640
259	1627	4632
260	1633	4625
261	1638	4616
262	1644	4607
263	1650	4602
264	1656	4594
265	1661	4584
266	1668	4580
267	1673	4570
268	1679	4562
269	1684	4554
270	1690	4546
271	1695	4538
272	1712	4560
273	1719	4556
274	1727	4553
275	1733	4546
276	1740	4541
277	1747	4537
278	1752	4529
279	1760	4526
280	1766	4519
281	1771	4511
282	1778	4505
283	1784	4498
284	1789	4490
285	1795	4481
286	1800	4473
287	1805	4464
288	1811	4456
289	1816	4448
290	1822	4439
291	1827	4430
292	1833	4424
293	1839	4417
294	1845	4410
295	1850	4402
296	1855	4392
297	1861	4384
298	1866	4376
299	1872	4368
300	1877	4360
301	1883	4352
302	1888	4343
303	1893	4335
304	1899	4328
305	1904	4319
306	1910	4311
307	1915	4303
308	1920	4295
309	1926	4287
310	1931	4280
311	1937	4272
312	1943	4266
313	1950	4261
314	1955	4252
315	1960	4244
316	1966	4236
317	1971	4228
318	1977	4221
319	1982	4213
320	1988	4205
321	1993	4198
322	1999	4190
323	2004	4182
324	2009	4174
325	2015	4166
326	2020	4157
327	2024	4148
328	2030	4141
329	2034	4131
330	2039	4122
331	2045	4115
332	2050	4106
333	2055	4097
334	2059	4088
335	2064	4079
336	2069	4070
337	2074	4062
338	2079	4054
339	2084	4046
340	2089	4037
341	2093	4028
342	2098	4018
343	2102	4009
344	2106	4000
345	2111	3991
346	2116	3982
347	2121	3975
348	2126	3966
349	2130	3957
350	2135	3949
351	2140	3941
352	2145	3932
353	2150	3925
354	2155	3916
355	2160	3907
356	2165	3900
357	2170	3892
358	2175	3884
359	2180	3877
360	2186	3869
361	2191	3862
362	2196	3854
363	2202	3848
364	2207	3840
365	2212	3832
366	2226	3840
367	2232	3834
368	2240	3831
369	2247	3826
370	2253	3820
371	2268	3830
372	2278	3829
373	2288	3830
374	2301	3835
375	2310	3834
376	2322	3837
377	2333	3839
378	2341	3837
379	2352	3838
380	2362	3837
381	2372	3837
382	2383	3838
383	2392	3837
384	2400	3835
385	2408	3831
386	2419	3831
387	2430	3833
388	2440	3833
389	2451	3834
390	2458	3829
391	2465	3823
392	2472	3818
393	2478	3812
394	2488	3811
395	2498	3811
396	2507	3808
397	2515	3804
398	2520	3797
399	2526	3789
400	2535	3787
401	2540	3779
402	2547	3773
403	2552	3766
404	2557	3757
405	2563	3750
406	2567	3741
407	2572	3733
408	2577	3724
409	2582	3716
410	2588	3708
411	2593	3701
412	2599	3694
413	2604	3686
414	2610	3679
415	2616	3672
416	2621	3664
417	2626	3656
418	2631	3648
419	2637	3641
420	2642	3633
421	2647	3626
422	2653	3619
423	2658	3610
424	2663	3602
425	2668	3595
426	2673	3587
427	2678	3579
428	2683	3571
429	2689	3564
430	2696	3559
431	2700	3550
432	2705	3542
433	2710	3534
434	2716	3527
435	2721	3520
436	2728	3514
437	2733	3507
438	2739	3500
439	2744	3492
440	2749	3485
441	2755	3479
442	2761	3472
443	2766	3464
444	2772	3457
445	2777	3450
446	2782	3442
447	2789	3437
448	2795	3430
449	2800	3423
450	2806	3415
451	2811	3409
452	2818	3403
453	2824	3396
454	2830	3390
455	2836	3383
456	2842	3377
457	2848	3370
458	2853	3363
459	2859	3356
460	2865	3350
461	2870	3342
462	2876	3335
463	2881	3329
464	2887	3321
465	2893	3315
466	2898	3308
467	2904	3301
468	2910	3295
469	2916	3288
470	2922	3282
471	2928	3275
472	2934	3269
473	2940	3262
474	2945	3255
475	2950	3248
476	2955	3240
477	2960	3233
478	2965	3225
479	2971	3218
480	2976	3211
481	2981	3204
482	2987	3197
483	2991	3189
484	2996	3182
485	3001	3174
486	3006	3167
487	3011	3159
488	3017	3152
489	3021	3144
490	3026	3136
491	3030	3128
492	3034	3121
493	3039	3113
494	3044	3105
495	3049	3098
496	3054	3091
497	3059	3083
498	3063	3076
499	3068	3068
500	3073	3061
501	3078	3053
502	3082	3045
503	3086	3037
504	3091	3030
505	3095	3022
506	3100	3014
507	3105	3007
508	3109	2999
509	3114	2992
510	3119	2984
511	3124	2977
512	3128	2970
513	3134	2963
514	3139	2956
515	3144	2949
516	3149	2942
517	3153	2934
518	3158	2926
519	3163	2919
520	3167	2912
521	3172	2905
522	3177	2898
523	3182	2890
524	3187	2883
525	3193	2877
526	3198	2870
527	3203	2864
528	3211	2859
529	3216	2852
530	3222	2845
531	3227	2839
532	3233	2832
533	3238	2826
534	3244	2820
535	3249	2813
536	3257	2808
537	3263	2802
538	3269	2795
539	3274	2789
540	3280	2783
541	3285	2776
542	3291	2770
543	3297	2763
544	3303	2757
545	3308	2751
546	3314	2744
547	3319	2737
548	3325	2731
549	3331	2725
550	3336	2718
551	3342	2712
552	3347	2705
553	3353	2699
554	3359	2693
555	3364	2686
556	3369	2679
557	3375	2673
558	3380	2667
559	3386	2660
560	3391	2653
561	3396	2647
562	3402	2641
563	3408	2634
564	3413	2627
565	3418	2621
566	3423	2614
567	3427	2606
568	3432	2599
569	3437	2593
570	3442	2586
571	3447	2579
572	3452	2573
573	3457	2566
574	3463	2560
575	3469	2553
576	3474	2546
577	3480	2541
578	3486	2534
579	3491	2528
580	3497	2522
581	3502	2515
582	3508	2509
583	3513	2502
584	3519	2496
585	3527	2492
586	3533	2486
587	3539	2479
588	3544	2473
589	3550	2466
590	3556	2461
591	3561	2454
592	3566	2448
593	3571	2441
594	3577	2435
595	3582	2428
596	3587	2421
597	3592	2415
598	3597	2408
599	3602	2401
600	3608	2395
601	3613	2389
602	3619	2382
603	3623	2375
604	3628	2369
605	3632	2362
606	3637	2355
607	3642	2348
608	3647	2341
609	3652	2335
610	3657	2328
611	3663	2322
612	3667	2315
613	3672	2308
614	3679	2303
615	3684	2296
616	3689	2290
617	3695	2284
618	3700	2277
619	3706	2271
620	3712	2265
621	3718	2259
622	3723	2253
623	3728	2246
624	3732	2239
625	3738	2233
626	3744	2227
627	3752	2222
628	3758	2216
629	3763	2210
630	3768	2204
631	3773	2197
632	3779	2191
633	3785	2185
634	3790	2178
635	3796	2172
636	3802	2166
637	3807	2160
638	3813	2154
639	3818	2147
640	3823	2141
641	3829	2135
642	3834	2128
643	3840	2122
644	3845	2116
645	3851	2110
646	3857	2104
647	3862	2098
648	3868	2092
649	3874	2086
650	3880	2080
651	3886	2074
652	3892	2068
653	3898	2062
654	3904	2056
655	3909	2050
656	3915	2043
657	3920	2037
658	3925	2031
659	3929	2024
660	3935	2018
661	3940	2011
662	3945	2005
663	3949	1998
664	3954	1992
665	3960	1986
666	3964	1979
667	3969	1972
668	3974	1966
669	3979	1959
670	3983	1953
671	3988	1946
672	3993	1940
673	3998	1933
674	4003	1927
675	4008	1921
676	4012	1914
677	4016	1907
678	4022	1901
679	4026	1894
680	4031	1888
681	4035	1881
682	4040	1875
683	4045	1868
684	4050	1862
685	4055	1856
686	4060	1849
687	4065	1843
688	4070	1837
689	4074	1830
690	4079	1824
691	4084	1817
692	4088	1811
693	4092	1804
694	4097	1798
695	4102	1792
696	4108	1785
697	4113	1779
698	4117	1773
699	4122	1766
700	4126	1760
701	4131	1753
702	4136	1747
703	4141	1741
704	4146	1735
705	4151	1728
706	4156	1722
707	4162	1716
708	4167	1710
709	4172	1704
710	4178	1698
711	4184	1692
712	4189	1686
713	4195	1680
714	4201	1674
715	4206	1668
716	4212	1662
717	4217	1656
718	4222	1650
719	4228	1644
720	4235	1638
721	4240	1632
722	4246	1626
723	4251	1620
724	4257	1614
725	4262	1608
726	4268	1602
727	4273	1596
728	4279	1590
729	4285	1584
730	4289	1578
731	4294	1572
732	4300	1566
733	4306	1560
734	4311	1554
735	4317	1548
736	4323	1542
737	4329	1537
738	4334	1530
739	4340	1524
740	4346	1519
741	4351	1513
742	4358	1507
743	4362	1501
744	4367	1494
745	4373	1489
746	4378	1482
747	4383	1476
748	4390	1471
749	4395	1465
750	4400	1458
751	4405	1452
752	4411	1446
753	4417	1441
754	4422	1435
755	4427	1429
756	4432	1422
757	4438	1417
758	4443	1411
759	4449	1405
760	4454	1398
761	4459	1392
762	4464	1386
763	4470	1380
764	4475	1374
765	4480	1368
766	4486	1363
767	4494	1357
768	4500	1351
769	4505	1345
770	4511	1339
771	4516	1333
772	4523	1328
773	4528	1322
774	4533	1316
775	4539	1310
776	4544	1304
777	4550	1298
778	4555	1292
779	4560	1286
780	4566	1280
781	4571	1274
782	4577	1268
783	4583	1262
784	4588	1256
785	4593	1250
786	4599	1244
787	4604	1238
788	4611	1233
789	4616	1227
790	4622	1221
791	4628	1215
792	4634	1209
793	4639	1203
794	4645	1197
795	4650	1191
796	4655	1185
797	4661	1180
798	4667	1174
799	4673	1168
800	4679	1162
801	4684	1156
802	4690	1150
803	4695	1144
804	4701	1138
805	4706	1132
806	4712	1127
807	4719	1121
808	4724	1115
809	4731	1109
810	4737	1103
811	4742	1098
812	4748	1092
813	4754	1086
814	4759	1080
815	4766	1074
816	4771	1068
817	4777	1062
818	4783	1057
819	4789	1051
820	4795	1045
821	4801	1039
822	4806	1033
823	4812	1027
824	4817	1021
825	4822	1015
826	4828	1010
827	4833	1004
828	4839	998
829	4845	992
830	4850	986
831	4856	980
832	4861	974
833	4866	968
834	4873	963
835	4879	957
836	4884	951
837	4890	945
838	4895	939
839	4900	933
840	4905	927
841	4910	921
842	4915	915
843	4920	909
844	4925	903
845	4931	897
846	4936	891
847	4940	885
848	4946	879
849	4951	873
850	4956	867
851	4965	862
852	4970	856
853	4975	850
854	4980	844
855	4985	838
856	4990	832
857	4995	826
858	5000	820
859	5005	814
860	5010	808
861	5015	802
862	5019	796
863	5024	790
864	5029	784
865	5034	778
866	5038	772
867	5043	766
868	5048	760
869	5052	755
870	5057	749
871	5062	743
872	5067	737
873	5072	731
874	5077	725
875	5081	719
876	5086	713
877	5090	707
878	5095	701
879	5100	695
880	5104	689
881	5108	683
882	5114	677
883	5119	671
884	5124	665
885	5129	660
886	5136	654
887	5141	648
888	5147	642
889	5152	636
890	5157	630
891	5163	625
892	5167	619
893	5173	613
894	5179	607
895	5184	601
896	5190	595
897	5195	590
898	5201	584
899	5207	578
900	5212	572
901	5218	566
902	5224	561
903	5229	555
904	5235	549
905	5241	543
906	5246	537
907	5252	532
908	5258	526
909	5263	520
910	5269	514
911	5275	509
912	5281	503
913	5287	497
914	5292	491
915	5299	485
916	5304	480
917	5310	474
918	5315	468
919	5321	462
920	5326	456
921	5333	451
922	5338	445
923	5344	439
924	5349	433
925	5355	427
926	5361	422
927	5366	416
928	5371	410
929	5377	404
930	5382	398
931	5388	393
932	5394	387
933	5399	381
934	5405	375
935	5410	369
936	5417	364
937	5422	358
938	5428	352
939	5433	346
940	5439	341
941	5445	335
942	5450	329
943	5455	323
944	5463	317
945	5468	312
946	5474	306
947	5480	300
948	5485	294
949	5492	289
950	5498	283
951	5504	277
952	5509	271
953	5514	265
954	5522	260
955	5527	254
956	5532	248
957	5537	242
958	5543	236
959	5549	231
960	5554	225
961	5559	219
962	5565	213
963	5570	208
964	5576	202
965	5582	196
966	5587	190
967	5592	184
968	5598	179
969	5603	173
970	5608	167
971	5613	161
972	5618	155
973	5624	150
974	5630	144
975	5635	138
976	5641	132
977	5646	127
978	5652	121
979	5658	115
980	5663	109
981	5669	103
982	5674	98
983	5680	92
984	5685	86
985	5690	80
986	5696	75
987	5701	69
988	5706	63
989	5712	57
990	5717	51
991	5721	46
992	5727	40
993	5732	34
994	5737	28
995	5741	23
996	5746	17
997	5751	11
998	5757	5
999	5763	0
