iter	Logloss
0	0.6911749268
1	0.6892563477
2	0.6874256592
3	0.6855488281
4	0.6840352783
5	0.6823980103
6	0.6808748779
7	0.6794645996
8	0.6780696411
9	0.6766368408
10	0.67528125
11	0.6741882935
12	0.6730408325
13	0.6719902344
14	0.6707768555
15	0.6696949463
16	0.668526001
17	0.6675159912
18	0.6665606689
19	0.6658778687
20	0.6649454346
21	0.6641575928
22	0.6634161987
23	0.6626809082
24	0.6620056763
25	0.6613834229
26	0.6606339111
27	0.659947876
28	0.6592862549
29	0.6585811768
30	0.6580964966
31	0.6575400391
32	0.6569692383
33	0.6564804077
34	0.6559399414
35	0.6554492187
36	0.6549927368
37	0.654550415
38	0.6540698853
39	0.6537306519
40	0.6534399414
41	0.6530087891
42	0.6527199097
43	0.6524581909
44	0.6519958496
45	0.6515925293
46	0.6511968994
47	0.6508421631
48	0.6505090942
49	0.6501622314
50	0.6498087158
51	0.6494354248
52	0.6492280273
53	0.6488557129
54	0.6485193481
55	0.6483221436
56	0.6480264893
57	0.6477490234
58	0.6474697266
59	0.6471812134
60	0.6469561768
61	0.6466777954
62	0.646430542
63	0.6462332153
64	0.6459112549
65	0.6457225342
66	0.6455024414
67	0.6452587891
68	0.6450738525
69	0.6448954468
70	0.6447374268
71	0.6444364014
72	0.6441950684
73	0.6439375
74	0.6437641602
75	0.6435418091
76	0.6432575684
77	0.6430783691
78	0.6428436279
79	0.6425465088
80	0.6422775269
81	0.6421189575
82	0.6419281006
83	0.6416347656
84	0.6414820557
85	0.6412901001
86	0.641017334
87	0.6408845215
88	0.6407383423
89	0.640529541
90	0.6403813477
91	0.6401873779
92	0.6399318237
93	0.6396706543
94	0.63947052
95	0.6393056641
96	0.6391881714
97	0.6390525513
98	0.638833313
99	0.6386890869
100	0.6384282227
101	0.6382802734
102	0.6381485596
103	0.6378948364
104	0.637704895
105	0.6375593262
106	0.6372935181
107	0.63709021
108	0.6368496704
109	0.6366037598
110	0.6363598633
111	0.636164917
112	0.6360682373
113	0.6358709106
114	0.6357901001
115	0.6355420532
116	0.635399231
117	0.6351774902
118	0.6350291748
119	0.634902832
120	0.6346588135
121	0.6345059814
122	0.6343470459
123	0.6342597656
124	0.6341917725
125	0.6339985962
126	0.6338007812
127	0.6337001953
128	0.6335521851
129	0.6333564453
130	0.6331638184
131	0.6329954834
132	0.6329164429
133	0.6328607788
134	0.6326495361
135	0.6324381104
136	0.6323495483
137	0.6321053467
138	0.6320273438
139	0.6318013916
140	0.6316687012
141	0.6315579834
142	0.6313439331
143	0.6310583496
144	0.6309560547
145	0.6308148804
146	0.6306405029
147	0.6305008545
148	0.6303397827
149	0.6302366333
150	0.6301530762
151	0.6299857788
152	0.6298448486
153	0.6296481934
154	0.629529541
155	0.6293503418
156	0.6291613159
157	0.6289939575
158	0.6287745361
159	0.6286333618
160	0.6285036621
161	0.6283398437
162	0.6282867432
163	0.6281531982
164	0.6280291138
165	0.6278378906
166	0.6277869873
167	0.6276350708
168	0.6275421143
169	0.6274372559
170	0.6272797852
171	0.6271335449
172	0.6269658813
173	0.6268723145
174	0.6267067871
175	0.6266296997
176	0.6265410767
177	0.6264445801
178	0.6263048096
179	0.6261141357
180	0.6260640869
181	0.6259487305
182	0.6258571777
183	0.6256898804
184	0.6255043945
185	0.6253581543
186	0.6252420654
187	0.6251466064
188	0.6250476685
189	0.6248653564
190	0.6247461548
191	0.6245687256
192	0.6244416504
193	0.6242633057
194	0.6241757812
195	0.6240109253
196	0.6239606934
197	0.6237982788
198	0.6235725098
199	0.6234022217
200	0.6232605591
201	0.6231653442
202	0.6230137939
203	0.6228435059
204	0.6227232666
205	0.622635498
206	0.6224840088
207	0.6222744141
208	0.6220365601
209	0.6218864746
210	0.621737793
211	0.6216053467
212	0.6214998779
213	0.6212768555
214	0.6212191162
215	0.6210838013
216	0.620989563
217	0.6208625488
218	0.6206934204
219	0.6205488892
220	0.6204605103
221	0.6203621826
222	0.6202506714
223	0.6201525879
224	0.619993042
225	0.6198389893
226	0.6197156982
227	0.6195357666
228	0.6193615112
229	0.6192612305
230	0.6190762329
231	0.6189971924
232	0.618852356
233	0.6186845703
234	0.6185765381
235	0.6184558716
236	0.6183914795
237	0.6182897949
238	0.6181828613
239	0.6180869141
240	0.6179903564
241	0.6178353882
242	0.61768396
243	0.6176536255
244	0.6175160522
245	0.6173475952
246	0.6172137451
247	0.6171132202
248	0.6170113525
249	0.6167562256
250	0.6166165771
251	0.6164884033
252	0.6164423828
253	0.6163613892
254	0.6162163086
255	0.6160613403
256	0.6159771118
257	0.6159064331
258	0.615729248
259	0.6155880127
260	0.6155501099
261	0.6154075317
262	0.6153140869
263	0.61522229
264	0.6149935913
265	0.6148952637
266	0.6147983398
267	0.614708374
268	0.6145548096
269	0.6144247437
270	0.6142277222
271	0.6141295166
272	0.6140536499
273	0.6140178223
274	0.614006958
275	0.6138962402
276	0.6137788696
277	0.613729126
278	0.6135731201
279	0.613427002
280	0.6133226318
281	0.6130946045
282	0.6128823853
283	0.6127653809
284	0.6125378418
285	0.6123165894
286	0.6121416016
287	0.6120044556
288	0.6118392944
289	0.6116757812
290	0.6115618896
291	0.61137854
292	0.6112790527
293	0.6111251221
294	0.6110285645
295	0.6109385986
296	0.6107775879
297	0.6107171631
298	0.6105771484
299	0.6104525146
300	0.6102374268
301	0.6101113281
302	0.6100430298
303	0.6099841309
304	0.6099284668
305	0.6097553711
306	0.6096096191
307	0.6094706421
308	0.6093480835
309	0.6092232056
310	0.6090571899
311	0.6088933105
312	0.6086586914
313	0.6085648193
314	0.6085072021
315	0.6084553223
316	0.6083189087
317	0.6082233887
318	0.6080475464
319	0.6077987061
320	0.6076796265
321	0.6075941772
322	0.607480957
323	0.6073532715
324	0.607223999
325	0.6071236572
326	0.6069301758
327	0.6068284302
328	0.60675354
329	0.6065927734
330	0.6063889771
331	0.6062333374
332	0.6061181641
333	0.6059295654
334	0.6058450928
335	0.6057265625
336	0.6055285645
337	0.6054396973
338	0.6052969971
339	0.6051553345
340	0.6049612427
341	0.6048575439
342	0.6047832031
343	0.6045935669
344	0.6045088501
345	0.6043915405
346	0.604251709
347	0.6040302734
348	0.6039404297
349	0.6037018433
350	0.6034814453
351	0.6033425293
352	0.603281311
353	0.6031322632
354	0.6030107422
355	0.6028399048
356	0.6026994019
357	0.6025982666
358	0.6024775391
359	0.6023358154
360	0.6022355957
361	0.6020423584
362	0.6018058472
363	0.6017041016
364	0.6016577148
365	0.6015081787
366	0.6013795166
367	0.6012622681
368	0.6010817871
369	0.6009844971
370	0.6008070679
371	0.6007423096
372	0.6006195679
373	0.6004398193
374	0.6002992554
375	0.6001781006
376	0.6000525513
377	0.5999386597
378	0.599779541
379	0.5996236572
380	0.5994289551
381	0.5992982178
382	0.5990668945
